STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA CTRY,Region,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,UNIT_MULTIPLIER,UNIT_MEASURE,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,TIME_PERIOD_METHOD,REF_PERIOD,COVERAGE_TIME,AGE
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BEL,7,PT_CHLD_Y0T4_REG,F,2024,100,,PCNT,E,,,,,"Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system, which estimated at least 90% complete","While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","UNSD Population and Vital Statistics Report, January 2026",,,EOF,,2024,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BEL,7,PT_CHLD_Y0T4_REG,M,2024,100,,PCNT,E,,,,,"Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system, which estimated at least 90% complete","While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","UNSD Population and Vital Statistics Report, January 2026",,,EOF,,2024,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BEL,7,PT_CHLD_Y0T4_REG,_T,2024,100,,PCNT,E,,,,,"Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system, which estimated at least 90% complete","While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","UNSD Population and Vital Statistics Report, January 2026",,,EOF,,2024,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BLZ,1,PT_CHLD_Y0T4_REG,F,2016,96.1,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",MICS 2015-16,,,EOF,,2015-16,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BLZ,1,PT_CHLD_Y0T4_REG,_T,2016,95.7,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",MICS 2015-16,,,EOF,,2015-16,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BLZ,1,PT_CHLD_Y0T4_REG,M,2016,95.3,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",MICS 2015-16,,,EOF,,2015-16,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MEX,1,PT_CHLD_Y0T4_REG,M,2023,93.8,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",ENADID 2023,,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MEX,1,PT_CHLD_Y0T4_REG,_T,2023,93.9,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",ENADID 2023,,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MEX,1,PT_CHLD_Y0T4_REG,F,2023,93.9,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",ENADID 2023,,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BEN,2,PT_CHLD_Y0T4_REG,F,2022,92.3,,PCNT,RP,,,,,Two clusters could not be visited due to insecurity and evictions during the field work period,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",MICS 2021-22,,,EOF,,2021-22,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BEN,2,PT_CHLD_Y0T4_REG,M,2022,92.8,,PCNT,RP,,,,,Two clusters could not be visited due to insecurity and evictions during the field work period,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",MICS 2021-22,,,EOF,,2021-22,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BEN,2,PT_CHLD_Y0T4_REG,_T,2022,92.6,,PCNT,RP,,,,,Two clusters could not be visited due to insecurity and evictions during the field work period,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",MICS 2021-22,,,EOF,,2021-22,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,UNICEF_MENA,0,PT_CHLD_Y0T4_REG,_T,2023,89.33,,PCNT,E,,,,,"Based on 16 countries with a population coverage 93 per cent of the regional population aged 0-4 years. These estimates are based on countries with an available data source within the reference period of 2014 to 2023 and apply a methodology that is detailed in the 2024 UNICEF global report, The Right Start in Life: Global levels and trends in birth registration, 2024 update.","While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","DHS, MICS, other national surveys, censuses and vital registration systems",,,EOF,,2014-23,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BOL,1,PT_CHLD_Y0T4_REG,F,2023,95.3,,PCNT,RA,,,,,Data refer only to children with a birth certificate,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",EDSA 2023,,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BOL,1,PT_CHLD_Y0T4_REG,_T,2023,95.6,,PCNT,RA,,,,,Data refer only to children with a birth certificate,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",EDSA 2023,,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BOL,1,PT_CHLD_Y0T4_REG,M,2023,95.8,,PCNT,RA,,,,,Data refer only to children with a birth certificate,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",EDSA 2023,,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MCO,4,PT_CHLD_Y0T4_REG,F,2020,100,,PCNT,E,,,,,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","UNSD Population and Vital Statistics Report, January 2021, latest update on 4 Jan 2022",,,EOF,,2020,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MCO,4,PT_CHLD_Y0T4_REG,M,2020,100,,PCNT,E,,,,,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","UNSD Population and Vital Statistics Report, January 2021, latest update on 4 Jan 2022",,,EOF,,2020,Y0T4
